"","Country","Action","Adult","Adventure","Animation","Biography","Comedy","Crime","Documentary","Drama","Family","Fantasy","FilmNoir","GameShow","History","Horror","Music","Musical","Mystery","News","RealityTV","Romance","SciFi","Short","Sport","TalkShow","Thriller","War","Western","Total","Continent","Population","gdp"
"79","Korea",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Asia",NA,NA
"80","Kosovo",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Europe",1895250,18490
"81","Kuwait",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"Asia",2875422,301100
"82","Kyrgyzstan",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,"Asia",5789122,21010
"83","Latvia",1,0,0,3,0,6,0,2,12,3,3,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,36,"Europe",1944643,50650
"84","Lebanon",0,0,0,1,1,6,1,3,12,0,0,0,0,0,0,0,5,0,0,0,2,0,6,0,0,1,3,0,41,"Asia",6229794,85160
"85","Liberia",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Africa",4689021,3881
"86","Libya",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Africa",6653210,90890
"87","Liechtenstein",1,1,3,0,0,2,2,1,7,0,0,0,0,2,5,1,0,0,0,0,1,0,0,1,0,2,1,1,31,"Europe",38244,4978
"88","Lithuania",0,0,2,0,0,0,1,5,10,1,1,0,0,1,1,0,0,0,0,0,2,0,8,0,0,2,1,0,35,"Europe",2823859,85620
"89","Luxembourg",12,0,6,14,4,11,6,5,37,7,3,0,0,3,5,1,3,0,0,0,8,4,11,1,0,10,2,1,154,"Europe",594130,58740
"90","Macau",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,"Asia",NA,NA
"91","Madagascar",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,"Africa",25054161,36860
"92","Malaysia",16,0,2,0,1,28,1,3,57,5,2,0,0,1,7,0,2,2,0,0,40,3,5,1,0,5,4,0,185,"Asia",31381992,863000
"93","Mali",0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"Africa",17885245,38090
"94","Malta",1,0,0,0,0,1,1,0,3,0,0,0,0,0,1,0,0,1,0,0,1,0,3,0,0,3,0,0,15,"Europe",416338,16320
"95","Martinique",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"North America",NA,NA
"96","Mauritania",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Africa",3758571,16710
"97","Mexico",127,0,136,20,11,393,122,59,715,49,118,3,0,14,135,6,54,99,1,0,113,57,143,6,0,194,37,40,2652,"North America",124574795,2307000
"98","Moldova",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Europe",3474121,18540
"99","Monaco",1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,2,13,"Europe",30645,7672
"100","Mongolia",0,0,1,0,0,0,0,1,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,"Asia",3068243,37000
"101","Morocco",5,0,1,0,1,4,2,2,19,0,0,0,0,1,0,0,0,0,0,0,1,0,8,0,0,3,2,0,49,"Africa",33986655,282800
"102","Mozambique",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Africa",26573706,35010
"103","Namibia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,"Africa",2484780,25990
"104","Nepal",0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Asia",29384297,71520
"105","Netherlands",24,5,31,32,15,146,32,164,320,52,16,0,0,9,30,20,8,18,0,0,64,8,220,5,0,66,17,2,1304,"Europe",17084719,870800
"106","New Zealand",16,0,12,5,5,57,10,15,108,15,9,0,0,0,29,1,5,10,0,0,17,8,83,1,0,37,3,0,446,"Oceania",4510327,174800
"107","Nicaragua",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"North America",6025951,33550
"108","Niger",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Africa",19245344,20150
"109","Nigeria",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,"Africa",190632261,1089000
"110","North Korea",2,0,2,1,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,"Asia",25248140,40000
